PR Number,Title,State,URL,Created At,Merged At
173,Smart contract merge,closed,,2025-02-14T09:14:45Z,2025-02-14T09:14:57Z
172,Smart contract merge,closed,,2025-02-14T07:53:26Z,2025-02-14T07:53:35Z
171,Support SmartContract with Key-Value,closed,,2025-02-13T19:30:45Z,2025-02-14T07:45:09Z
170,MemLens Database Specific Changes,open,,2025-02-12T11:42:38Z,None
168,Fix ut,closed,,2025-01-06T06:53:16Z,2025-01-06T07:15:09Z
167,add gcc,closed,,2025-01-06T05:10:09Z,2025-01-06T06:47:43Z
166,Stable Fides Version,open,,2025-01-03T02:32:09Z,None
165,Use custom Ports,closed,,2024-12-08T04:32:49Z,2024-12-08T04:35:41Z
164,Integrate clangd Autocomplete Support into Bazel C++ Project,closed,,2024-11-09T08:33:46Z,None
157,"Minor fixes to the Dockerfile, Entrypoint and Readme",closed,,2024-09-27T09:09:20Z,2024-09-27T18:36:03Z
156,Sync with master,closed,,2024-09-27T08:20:21Z,2024-09-27T08:21:18Z
154,[License]Add the missing license file,closed,,2024-08-01T04:11:17Z,2024-08-01T07:06:35Z
153,Update CHANGELOG.md,closed,,2024-07-30T17:39:49Z,2024-07-31T05:38:47Z
152,Update README.md,closed,,2024-07-27T20:42:22Z,2024-07-28T02:50:16Z
151,Update .licenserc.yaml,closed,,2024-07-11T13:37:14Z,2024-07-12T06:51:46Z
150,Add missing ASF headers and provide dev/check-license script,closed,,2024-07-11T12:41:19Z,2024-07-11T13:34:28Z
145,Install,closed,,2024-06-23T07:53:31Z,2024-06-23T08:10:12Z
143,Fix Apache License,closed,,2024-05-04T15:39:08Z,2024-05-04T17:13:15Z
142,Fix Bug,closed,,2024-05-03T03:19:25Z,2024-05-03T03:55:28Z
141,Added Resview to CHANGELOG,closed,,2024-04-16T22:42:46Z,2024-04-16T22:43:07Z
140,add poe,closed,,2024-04-10T22:13:59Z,2024-04-10T22:39:42Z
139,"""Fixed issue with data carryover between instances""",closed,,2024-04-02T23:01:17Z,2024-04-02T23:17:16Z
138,ResView Branch,closed,,2024-03-30T17:47:20Z,2024-03-31T06:34:47Z
137,update kv_operation.py route to bazel-out and update readme,closed,,2024-03-09T06:27:47Z,2024-03-09T07:17:16Z
136,kv-service python api,closed,,2024-03-09T04:15:17Z,2024-03-09T05:27:33Z
135,Fix incorrect comment intervals in Prometheus config,closed,,2024-03-07T10:28:16Z,2024-03-07T13:16:25Z
133,add GetRequestFromReplica interface,closed,,2024-01-29T22:23:24Z,2024-01-29T22:44:39Z
132,add bazel version,closed,,2024-01-07T11:42:17Z,2024-01-07T12:06:27Z
131,Fix test,closed,,2024-01-02T15:10:15Z,None
130,Use .asf.yaml to manage GitHub settings,closed,,2024-01-02T09:39:41Z,2024-01-02T12:33:25Z
129,Update copyright date in NOTICE,closed,,2024-01-02T08:44:11Z,2024-01-02T09:12:01Z
127,"""Added flags to enable/disable resview functions and faulty switches""",closed,,2023-12-25T23:58:11Z,2023-12-25T23:58:24Z
126,Fix the failure memory order argument to atomic_compare_exchange_strong explicit,closed,,2023-12-20T20:18:55Z,2023-12-29T10:29:25Z
124,change apache license,closed,,2023-12-01T22:37:18Z,2023-12-01T22:37:51Z
123,add notice file,closed,,2023-12-01T22:28:15Z,2023-12-01T22:29:26Z
122,change apache license,closed,,2023-12-01T22:03:47Z,2023-12-01T22:23:40Z
121,License,closed,,2023-12-01T21:45:04Z,2023-12-01T22:01:30Z
120,change license under service folder,closed,,2023-12-01T21:20:27Z,2023-12-01T21:40:49Z
119,support old api command line,closed,,2023-11-30T20:44:17Z,2023-11-30T21:19:11Z
118,Update CHANGELOG.md,closed,,2023-11-30T05:19:05Z,2023-11-30T05:41:51Z
117,Support version based key-value service.,closed,,2023-11-29T23:06:57Z,2023-11-30T00:50:27Z
116,Fixed light logo bug | removed nexres refs,closed,,2023-11-21T09:21:30Z,2023-11-21T11:28:32Z
115,Updated loqo quality,closed,,2023-11-16T19:46:03Z,2023-11-16T23:35:07Z
114,Updated logo,closed,,2023-11-16T04:43:44Z,2023-11-16T05:58:03Z
112,Utxo api,closed,,2023-11-09T22:06:13Z,2023-11-09T23:19:09Z
111,Change getvalues cmd type to getallvalues,closed,,2023-11-06T00:21:40Z,2023-11-06T01:10:18Z
110,Modified Dockerfile to add entrypoint,closed,,2023-11-05T20:52:54Z,2023-11-05T22:18:04Z
108,fix utxo start script,closed,,2023-11-03T22:12:16Z,2023-11-03T22:29:11Z
106,disable local recovery,closed,,2023-11-02T17:01:07Z,2023-11-02T18:50:50Z
102,Support Custom Configuration,closed,,2023-10-27T20:35:15Z,2023-10-28T20:42:39Z
100,Hs,closed,,2023-10-27T16:38:48Z,2023-10-27T16:38:56Z
99,Poe,closed,,2023-10-27T16:36:01Z,2023-10-27T16:36:08Z
93,Deploy,closed,,2023-10-27T05:26:06Z,2023-10-27T16:39:58Z
92,Grafna,closed,,2023-10-26T16:30:49Z,2023-10-26T18:34:21Z
