PR Number,Title,State,URL,Created At,Merged At
15242,213,closed,,2025-03-16T08:29:39Z,None
15241,[3.3] optimized testExporterThreadpoolName by starting dispatcher thread directly,open,,2025-03-14T16:23:20Z,None
15239,[3.3] Set socket reuse address option to true,open,,2025-03-14T08:26:50Z,None
15236,remove dubbo plugin useless dependency,open,,2025-03-13T13:29:28Z,None
15231,tracing add zipkin dep default,closed,,2025-03-11T14:53:39Z,2025-03-12T01:50:36Z
15230,fix: getClassLoader() may return null,closed,,2025-03-11T13:36:59Z,None
15229,Bump curator5_version from 4.2.0 to 5.8.0,closed,,2025-03-10T07:41:08Z,2025-03-11T02:03:30Z
15228,Bump io.opentelemetry:opentelemetry-bom from 1.47.0 to 1.48.0,closed,,2025-03-10T07:40:42Z,2025-03-11T02:03:38Z
15227,Bump tomcat.version from 8.5.100 to 10.1.39,closed,,2025-03-10T07:40:22Z,2025-03-11T02:03:52Z
15226,Bump org.testcontainers:testcontainers from 1.20.5 to 1.20.6,closed,,2025-03-10T07:39:56Z,2025-03-11T02:03:58Z
15225,Bump org.webjars:webjars-locator-lite from 1.0.1 to 1.1.0,open,,2025-03-10T07:39:39Z,None
15224,Bump grpc.version from 1.70.0 to 1.71.0,closed,,2025-03-10T07:39:22Z,2025-03-11T02:04:13Z
15223,Fix SerializeCheckStatusTest and Improve Serialization Security Management,closed,,2025-03-09T12:15:09Z,None
15222,docs: added a link to the license,closed,,2025-03-08T16:47:00Z,2025-03-12T01:45:29Z
15221,fix repeat load registryFactory,closed,,2025-03-08T11:00:32Z,2025-03-11T02:29:46Z
15220,autoconfiguration virtual-thread-pool,closed,,2025-03-08T06:02:49Z,2025-03-14T13:37:17Z
15219,Resolving the Thread-Safety Problem in registerReferenceKeyAndBeanName Using an Overloaded computeIfAbsent,open,,2025-03-08T04:21:47Z,None
15218,"Remove dubbo-test in dubbo-metrics,dubbo-registry,dubbo-serialization",open,,2025-03-08T03:30:47Z,None
15211,Master,closed,,2025-03-07T12:12:37Z,None
15210,Fix concurrency problem in ThreadlessExecutor,closed,,2025-03-06T09:31:12Z,2025-03-06T13:15:23Z
15209,[3.3] Retry connect to provider server by catching ClosedChannelException,closed,,2025-03-06T06:33:00Z,2025-03-12T01:46:12Z
15208,exclude logback transit dependency in zookeeper,closed,,2025-03-05T16:04:43Z,2025-03-06T01:35:53Z
15207,Fix memory leak when OOM,closed,,2025-03-05T07:18:54Z,2025-03-05T08:49:10Z
15206,15134.adding a dummy change,open,,2025-03-04T17:02:53Z,None
15205,[3.3] Optimized EagerThreadPoolExecutorTest by decreasing maximumPoolSize,closed,,2025-03-04T15:23:39Z,2025-03-06T01:43:37Z
15203,Optimize parseCharset method for best performance.,closed,,2025-03-03T12:52:45Z,2025-03-04T01:51:43Z
15202,[3.3] Removed mGroup from NamedThreadFactory,closed,,2025-03-03T11:32:44Z,2025-03-04T01:51:07Z
15200,Bump org.apache.maven.plugins:maven-deploy-plugin from 3.1.3 to 3.1.4,closed,,2025-03-03T08:31:22Z,2025-03-03T09:36:30Z
15199,Bump byte-buddy_version from 1.17.1 to 1.17.2,closed,,2025-03-03T08:31:09Z,2025-03-03T09:36:38Z
15198,Bump jackson_version from 2.18.2 to 2.18.3,closed,,2025-03-03T08:30:55Z,2025-03-03T09:36:47Z
15197,Bump org.webjars:swagger-ui from 5.18.3 to 5.20.0,closed,,2025-03-03T08:30:15Z,2025-03-03T09:37:06Z
15196,Bump netty4_version from 4.1.118.Final to 4.1.119.Final,closed,,2025-03-03T08:29:48Z,2025-03-03T09:36:58Z
15195,Bump org.apache.groovy:groovy from 4.0.25 to 4.0.26,closed,,2025-03-03T08:29:35Z,2025-03-04T01:50:05Z
15194,Bump org.codehaus.mojo:flatten-maven-plugin from 1.6.0 to 1.7.0,closed,,2025-03-03T08:29:25Z,2025-03-04T01:50:12Z
15193,[3.3] Upgraded netty3 to 3.10.6.Final,closed,,2025-03-03T04:56:30Z,None
15192,fix Context loss when async invoke issue#13666,open,,2025-03-02T09:58:36Z,None
15190,FIX-15184 resolved NettyHttp Header add by set to empty String,closed,,2025-03-01T12:57:19Z,None
15189,"check the network,Local site be the preferred one",open,,2025-03-01T07:39:31Z,None
15188,"Fix the issue where the charset from Content-Type is not parsed correctly, and refactor the related code.",closed,,2025-02-28T05:55:55Z,2025-03-03T02:03:28Z
15181,"Fix `DefaultSerializeClassChecker` verification, when the mode is `WARN`",closed,,2025-02-26T07:01:52Z,None
15178,default format need't convert avoid data loss,open,,2025-02-25T15:02:14Z,None
15176,refactor SimpleMetricsCountSampler,open,,2025-02-24T23:27:16Z,None
15175,Bump com.diffplug.spotless:spotless-maven-plugin from 2.44.2 to 2.44.3,closed,,2025-02-24T08:56:38Z,2025-02-24T14:27:55Z
15174,Bump org.testcontainers:testcontainers from 1.20.4 to 1.20.5,closed,,2025-02-24T08:56:28Z,2025-02-25T01:43:41Z
15173,Bump org.awaitility:awaitility from 4.2.2 to 4.3.0,closed,,2025-02-24T08:56:17Z,2025-03-06T01:43:56Z
15172,Bump com.alibaba.fastjson2:fastjson2 from 2.0.55 to 2.0.56,closed,,2025-02-24T08:55:51Z,2025-02-25T01:43:33Z
15171,Bump org.apache.maven.plugins:maven-compiler-plugin from 3.13.0 to 3.14.0,closed,,2025-02-24T08:55:30Z,2025-02-25T01:43:26Z
15170,Bump junit_platform_version from 1.11.4 to 1.12.0,closed,,2025-02-24T08:55:20Z,2025-02-25T01:43:18Z
15169,Bump spring-boot-3.version from 3.4.2 to 3.4.3,closed,,2025-02-24T08:54:58Z,2025-02-25T01:43:09Z
15168,Bump junit_jupiter_version from 5.11.4 to 5.12.0,closed,,2025-02-24T08:53:53Z,2025-02-26T01:40:54Z
15167,Bump tomcat.version from 8.5.100 to 10.1.36,closed,,2025-02-24T08:53:45Z,2025-02-25T01:42:49Z
15164,[3.3] Optimized Wrapper#getWrapper and some unit tests,closed,,2025-02-22T15:32:23Z,2025-03-03T01:59:05Z
15163,[3.3] Optimized RpcMessageHandler to reduce thread pool usage,closed,,2025-02-20T08:12:37Z,2025-02-21T02:31:50Z
15161,:recycle: move dubbo mertics and tracing to observability,open,,2025-02-20T05:09:14Z,None
15157,FIX gRPC-related URL object caused a NullPointerException (NPE),closed,,2025-02-18T04:09:17Z,2025-02-21T02:23:10Z
15155,Bump org.yaml:snakeyaml from 2.3 to 2.4,closed,,2025-02-17T08:38:51Z,2025-02-19T01:50:50Z
15154,Bump com.alibaba.fastjson2:fastjson2 from 2.0.54 to 2.0.55,closed,,2025-02-17T08:38:41Z,2025-02-19T01:51:02Z
15153,Bump io.projectreactor:reactor-core from 3.7.2 to 3.7.3,closed,,2025-02-17T08:38:19Z,2025-02-19T01:51:09Z
15152,Bump io.micrometer:micrometer-core from 1.14.3 to 1.14.4,closed,,2025-02-17T08:38:02Z,2025-02-19T01:51:20Z
15151,Bump io.micrometer:micrometer-tracing-bom from 1.4.2 to 1.4.3,closed,,2025-02-17T08:37:53Z,2025-02-19T01:57:25Z
