PR Number,Title,State,URL,Created At,Merged At
7225,test: added unit tests for NacosRegistryServiceImple,open,,2025-03-16T21:22:01Z,None
7224,optimize/optimize changeGlobalStatus interface of console,open,,2025-03-16T04:47:27Z,None
7223,feature: Apply Spotless with Palantir Java Format,open,,2025-03-15T15:10:05Z,None
7222,optimize: in raft mode add the vgroup field to global lock,closed,,2025-03-15T07:17:19Z,2025-03-16T12:25:12Z
7221,test: add UT for gRPC Encoder/Decoder,closed,,2025-03-14T07:33:55Z,2025-03-15T13:08:13Z
7219,optimize: optimize sql parsing logic,closed,,2025-03-13T11:25:27Z,2025-03-14T08:33:24Z
7218,bugfix:NotSupportExc can't be thrown out in some cases,closed,,2025-03-13T10:52:58Z,None
7215,optimize: intercept non-leader write requests of the console trx operation,closed,,2025-03-12T15:30:19Z,2025-03-15T06:26:29Z
7214,optimize: upgrade jackson dependency to 2.18.3,closed,,2025-03-12T13:10:36Z,2025-03-14T04:53:40Z
7213,feature: support kingbase xa mode,closed,,2025-03-12T06:18:11Z,2025-03-15T13:17:17Z
7203,test: add UT for DM/kingbase/oscar sqlparser,closed,,2025-03-11T09:07:35Z,2025-03-13T01:10:29Z
7202,optimize: upgrade protobuf version from 3.25.4 to 3.25.5,closed,,2025-03-11T05:47:48Z,2025-03-12T01:23:12Z
7200,"Revert ""refactor: refactor the `Result` Class (#7176)""",closed,,2025-03-10T13:22:43Z,2025-03-10T13:37:06Z
7199,test: add some UT cases for client processor,closed,,2025-03-10T02:11:36Z,2025-03-10T03:19:48Z
7197,test: add some UT cases for config module,open,,2025-03-09T09:44:16Z,None
7194,optimize: skip the proxy of AbstractRoutingDataSource,closed,,2025-03-06T03:44:21Z,2025-03-06T06:16:40Z
7193,optimize: automatically skipping proxy for datasource of type Abstrac…,closed,,2025-03-06T03:29:32Z,None
7191,(WIP)bugfix:Fix problems while using etcd3 as registry,closed,,2025-03-04T06:15:03Z,None
7189,test: fix the runtime exception in the saga test case,closed,,2025-02-28T08:22:52Z,2025-03-03T04:09:31Z
7188,bugfix: Fix missing branchType in BusinessActionContext,closed,,2025-02-28T05:11:05Z,2025-03-03T05:39:55Z
7187,optimize: add dependency-check-maven plugin to detect potential vulnerabilities,closed,,2025-02-28T03:54:55Z,2025-03-08T13:17:57Z
7184,optimize: using subqueries to reduce the retrieval of invalid content data.,open,,2025-02-25T11:36:57Z,None
7183,feature: client discovers raft nodes through the naming server,closed,,2025-02-25T05:51:06Z,2025-03-09T01:37:36Z
7182,optimize:  use the ip of the peerId as the host of the raft node,closed,,2025-02-24T09:59:58Z,2025-02-25T01:36:44Z
7181,feature:  raft implements domain name resolution and selects peerId,closed,,2025-02-24T09:38:13Z,2025-02-25T01:22:02Z
7179,optimize: Use shared `EventLoop` for TM and RM clients to reduce thread overhead and improve performance,closed,,2025-02-23T08:25:12Z,2025-03-04T02:14:17Z
7176,refactor: refactor the `Result` Class,closed,,2025-02-22T05:07:58Z,2025-03-09T01:56:30Z
7175,optimize: fix 2.3.0 UT,closed,,2025-02-20T12:33:53Z,2025-02-20T12:34:18Z
7174,[WIP]feature:[loom] replace the usages of synchronized with ReentrantLock at saga module,open,,2025-02-20T12:16:38Z,None
7172,optimize: fix 2.3.0 UT and update NOTICE,closed,,2025-02-20T08:45:10Z,2025-02-20T08:47:54Z
7171,feature:support `EpollEventLoopGroup` in client,closed,,2025-02-19T09:41:46Z,2025-02-19T10:02:14Z
7170,optimize: optimize seata client I/O processing by adjusting thread count,closed,,2025-02-19T06:06:08Z,2025-02-19T08:20:49Z
7167,test: Refactored tests in DurationUtilTest to simplify and use parameterized unit testing,closed,,2025-02-18T05:14:40Z,2025-02-19T08:56:12Z
7164,feature:Transfer global timeout and branch transaction begin time,open,,2025-02-13T09:37:28Z,None
7162,optimize: Throwing IOException in sendSyncRequest ,closed,,2025-02-13T01:29:11Z,2025-02-24T02:58:45Z
7160,test: Refactored tests in LowerCaseLinkHashMapTest to use parameterized unit testing,closed,,2025-02-12T19:00:54Z,2025-02-15T10:02:24Z
7157,feature: migrate the console to the naming server,closed,,2025-02-11T07:14:11Z,2025-02-24T06:57:21Z
7156,compatible version,closed,,2025-02-11T04:04:52Z,None
7155,reactor: refactor the code that does not comply with license requirements,closed,,2025-02-11T02:45:06Z,2025-02-11T02:56:55Z
7154,optimize: remove unused dependencies,closed,,2025-02-11T02:38:14Z,2025-02-11T02:38:26Z
7153,optimize: upgrade tomcat-embed to 9.0.98,closed,,2025-02-11T02:34:14Z,2025-02-11T02:34:33Z
7152,optimize: remove org.eclipse.jetty dependency,closed,,2025-02-11T02:29:11Z,2025-02-11T02:29:32Z
7151,optimize: upgrade xstream to 1.4.21,closed,,2025-02-11T02:24:43Z,2025-02-11T02:25:14Z
7150,bugfix: The time difference between the raft node and the follower node cannot synchronize data.,closed,,2025-02-10T08:30:10Z,2025-02-10T08:51:26Z
7149,optimize:Fix abnormal character display issues in ./distribution/NOTICE.md,closed,,2025-02-10T03:52:55Z,2025-02-10T06:23:02Z
7147,feature: Raft config center v2,open,,2025-02-09T07:39:51Z,None
7145,reactor: refactor the code that does not comply with license requirements,open,,2025-02-08T16:15:35Z,None
7143,feature: raft config center v2,closed,,2025-02-08T12:51:55Z,None
7142,optimize: upgrade commons-compress to 1.27.1,closed,,2025-02-08T10:44:11Z,2025-02-10T03:30:51Z
7141,optimize: remove unused dependencies,closed,,2025-02-08T02:55:33Z,2025-02-08T05:59:53Z
7139,optimize: upgrade xstream to 1.4.21,closed,,2025-02-07T11:18:14Z,2025-02-08T01:33:41Z
7138,optimize: remove org.eclipse.jetty dependency,closed,,2025-02-07T11:15:39Z,2025-02-08T01:59:07Z
