PR Number,Title,State,URL,Created At,Merged At
2790,chore(ci): bump crate-ci/typo to v1.2.7,open,,2025-02-13T16:54:22Z,None
2788,chore(ci): bump action apache/skywalking-eyes/header to 0.7.0,closed,,2025-02-13T07:41:12Z,2025-02-13T12:11:35Z
2787,chore(ci): bump minica to v1.1.0,closed,,2025-02-12T09:39:31Z,2025-02-12T16:01:59Z
2786,chore(build): bump golang-lint to 1.64.3,open,,2025-02-12T08:40:03Z,None
2785,chore(test): update godeps,closed,,2025-02-11T13:26:37Z,2025-02-12T02:05:11Z
2783,fix(string): the server will be crashed when passing a negative offset in SETRANGE command,closed,,2025-02-10T12:18:46Z,2025-02-10T15:38:37Z
2782,chore: bump jsoncons to v1.2.0,closed,,2025-02-09T10:26:13Z,2025-02-09T12:30:02Z
2781,"feat(server): add rocksdb_version, server_time_usec, executable and config_file to INFO",closed,,2025-02-09T05:59:25Z,2025-02-09T10:36:51Z
2780,ci: fix build-push-action by supplying context argument,closed,,2025-02-09T05:19:15Z,2025-02-09T08:48:50Z
2779,ci: keep git history while building nightly images,closed,,2025-02-08T15:13:36Z,2025-02-08T16:45:30Z
2778,chore(server): return InfoEntries instead of string in Get..Info(),closed,,2025-02-08T14:59:16Z,2025-02-09T02:54:40Z
2776,chore: bump googletest to 1.16.0,closed,,2025-02-07T18:33:49Z,2025-02-08T00:49:54Z
2775,feat(info): move the last scan time as field to the info keyspace section,closed,,2025-02-07T14:53:17Z,2025-02-08T03:05:50Z
2774,chore(server): improve code style of `Server::Get..Info()`,closed,,2025-02-06T15:00:52Z,2025-02-07T01:47:28Z
2773,ci: parallel longest running test in slotmigrate_test.go and bitmap_test.go,closed,,2025-02-06T08:12:40Z,None
2772,feat(info): support to specify multiple sections for INFO,closed,,2025-02-05T16:30:56Z,2025-02-06T14:36:04Z
2769,ci: release nightly images for version tags,closed,,2025-02-04T07:37:46Z,2025-02-04T09:31:45Z
2768,ci: isolate geoadd and georange test and run it in parallel,closed,,2025-02-04T05:46:34Z,2025-02-04T12:00:43Z
2765,fix(conn): detect and drop HTTP requests in connection,closed,,2025-02-03T14:23:42Z,2025-02-04T03:37:29Z
2764,feat(rockdb): Allow customization of Rocksdb threads number,closed,,2025-02-03T14:03:18Z,None
2763,ci: execute long running go tests in parallel,open,,2025-02-03T02:36:24Z,None
2762,chore(test): update godeps,closed,,2025-02-02T09:05:04Z,2025-02-02T15:33:57Z
2761,fix: typo in signal handler,closed,,2025-02-01T18:50:00Z,None
2760,ci: add an alpine-based build & test workflow,closed,,2025-02-01T15:50:52Z,2025-02-02T05:42:59Z
