PR Number,Title,State,URL,Created At,Merged At
5748,"refactor(services/redis): Implement ConnectionLike for RedisConnection",closed,https://github.com/apache/opendal/pull/5748,2025-03-11T14:49:58Z,2025-03-11T15:12:15Z
5746,"fix: drop useless import and clippy happy for java binding",open,https://github.com/apache/opendal/pull/5746,2025-03-11T13:50:54Z,
5744,"fix(core)!: chainsafe services has been sunset",closed,https://github.com/apache/opendal/pull/5744,2025-03-11T12:10:57Z,2025-03-11T12:59:30Z
5742,"feat(binding/dart): hide init && change to init",closed,https://github.com/apache/opendal/pull/5742,2025-03-11T09:18:15Z,2025-03-11T13:38:15Z
5741,"fix(website): Handling badges click behavior correctly",closed,https://github.com/apache/opendal/pull/5741,2025-03-11T09:00:50Z,2025-03-11T09:05:20Z
5740,"feat(binding/dart): add examples, tests",closed,https://github.com/apache/opendal/pull/5740,2025-03-11T07:16:51Z,2025-03-11T08:11:07Z
5738,"fix: sqlite may dead lock in ci",closed,https://github.com/apache/opendal/pull/5738,2025-03-11T06:34:11Z,2025-03-11T14:54:59Z
5736,"docs: QuestDB is not using opendal java",closed,https://github.com/apache/opendal/pull/5736,2025-03-11T05:56:26Z,2025-03-11T06:29:29Z
5735,"docs: Add useful links",closed,https://github.com/apache/opendal/pull/5735,2025-03-11T04:07:01Z,2025-03-11T05:46:12Z
5734,"fix(binding/dart): pin version to avoid generator/runtime version mismatch",closed,https://github.com/apache/opendal/pull/5734,2025-03-10T21:45:09Z,2025-03-11T02:54:50Z
5733,"feat(services/onedrive): add signer to utilize the refresh token",closed,https://github.com/apache/opendal/pull/5733,2025-03-10T20:39:30Z,2025-03-11T12:00:03Z
5732,"fix(core): fix list with recursive when the object doesn't exist",open,https://github.com/apache/opendal/pull/5732,2025-03-10T17:26:35Z,
5731,"refactor(bindings/node)!: Change `is_exist` to `exists` to align with nodejs API style",closed,https://github.com/apache/opendal/pull/5731,2025-03-10T14:37:10Z,2025-03-11T03:58:59Z
5730,"chore(core): Fix BufferStream not exported",closed,https://github.com/apache/opendal/pull/5730,2025-03-10T14:25:19Z,2025-03-10T14:32:09Z
5729,"chore: lua bindings api is_exist to exists",closed,https://github.com/apache/opendal/pull/5729,2025-03-10T14:24:25Z,
5726,"website: Fix links of bindings user",closed,https://github.com/apache/opendal/pull/5726,2025-03-10T13:22:25Z,2025-03-10T13:28:14Z
5725,"fix(website): Handling svg image correctly",closed,https://github.com/apache/opendal/pull/5725,2025-03-10T11:29:03Z,2025-03-10T13:04:08Z
5724,"website: Download all images to local and rewrite the url in html",closed,https://github.com/apache/opendal/pull/5724,2025-03-10T11:02:30Z,2025-03-10T11:09:13Z
5723,"website(refactor): Use project readme in website directly",closed,https://github.com/apache/opendal/pull/5723,2025-03-10T09:44:34Z,2025-03-10T10:15:26Z
5721,"test(java): avoid run heavy RegressionTest always",closed,https://github.com/apache/opendal/pull/5721,2025-03-10T08:18:21Z,2025-03-10T08:37:45Z
5720,"docs: Better ways to users showcase",closed,https://github.com/apache/opendal/pull/5720,2025-03-10T05:46:55Z,2025-03-10T08:11:51Z
5719,"fix: mac can not build lua binding",closed,https://github.com/apache/opendal/pull/5719,2025-03-10T05:37:59Z,2025-03-10T05:48:51Z
5718,"feat(binding/java) add list with recursive support",open,https://github.com/apache/opendal/pull/5718,2025-03-09T16:15:46Z,
5717,"ci: add clippy to some of the binding check ci",closed,https://github.com/apache/opendal/pull/5717,2025-03-09T10:09:20Z,2025-03-09T13:20:41Z
5716,"fix: bring back services ftp for python/java/node",open,https://github.com/apache/opendal/pull/5716,2025-03-09T08:11:53Z,
5715,"fix: make build_abs_path to build_rooted_abs_path for chainsafe",closed,https://github.com/apache/opendal/pull/5715,2025-03-09T07:13:50Z,2025-03-09T08:14:41Z
5714,"fix: drop useless file",closed,https://github.com/apache/opendal/pull/5714,2025-03-09T01:01:34Z,2025-03-09T03:04:13Z
5713,"chore: revert \"services/cos: Implement Write Returns Metadata for cos\"",closed,https://github.com/apache/opendal/pull/5713,2025-03-08T17:49:35Z,2025-03-08T17:51:59Z
5711,"feat: adopt uv for python binding",closed,https://github.com/apache/opendal/pull/5711,2025-03-08T13:42:11Z,2025-03-08T15:54:33Z
5710,"services/cos: Implement Write Returns Metadata for cos",closed,https://github.com/apache/opendal/pull/5710,2025-03-08T08:53:20Z,2025-03-08T15:51:47Z
5709,"doc: py binding version is wrong for now",closed,https://github.com/apache/opendal/pull/5709,2025-03-08T05:58:58Z,2025-03-08T07:33:50Z
5708,"fix: drop useless clone for py binding and make clippy happy",closed,https://github.com/apache/opendal/pull/5708,2025-03-08T05:54:00Z,2025-03-08T15:55:08Z
5707,"doc: add the most famous Python binding",closed,https://github.com/apache/opendal/pull/5707,2025-03-07T13:18:24Z,2025-03-07T15:56:50Z
5706,"chore: update mongodb version drop the fixme comments",closed,https://github.com/apache/opendal/pull/5706,2025-03-07T13:14:13Z,2025-03-07T13:28:26Z
