PR Number,Title,State,URL,Created At,Merged At
24081,[fix][broker] Fix broker is not able to schedule producer-creation task after failure,open,,2025-03-14T23:47:20Z,None
24080,[fix][broker] Fix Metadata event synchronizer should not fail with bad version,open,,2025-03-14T20:02:31Z,None
24079,[fix][broker] Fix NPE while publishing Metadata-Event with not init producer,open,,2025-03-14T19:00:22Z,None
24077,[fix] Bring GitHub Discussions back by enabling discussions in .asf.yaml,closed,,2025-03-14T15:41:25Z,2025-03-14T15:43:01Z
24076,[improve] PIP-404: Introduce per ledger properties,open,,2025-03-13T14:51:23Z,None
24074,Bump golang.org/x/net from 0.33.0 to 0.36.0 in /pulsar-function-go/examples,open,,2025-03-13T01:44:03Z,None
24073,[improve][broker]Optimize message expiration rate repeated update issues,open,,2025-03-12T09:59:09Z,None
24072,[fix][broker] Pattern subscription doesn't work when the pattern excludes the topic domain.,closed,,2025-03-12T07:32:11Z,2025-03-14T00:16:54Z
24071,[fix][client] PIP-409 retry/dead letter topic producer config don't take effect.,closed,,2025-03-12T07:25:18Z,2025-03-14T09:51:45Z
24069,[improve][broker]clean up duplicate code and fix typo,open,,2025-03-11T16:11:58Z,None
24067,[fix][broker] http metric endpoint get compaction latency stats always be 0,closed,,2025-03-10T08:33:44Z,2025-03-14T08:01:07Z
24066,[fix][broker] Typo correction: from backlogQuotaDefaultLimitByte to backlogQuotaDefaultLimitBytes,closed,,2025-03-08T01:33:22Z,2025-03-10T16:20:44Z
24065,[fix][monitor] Set correct content-type for metrics endpoints in Pulsar for Prometheus 3.x compatibility,closed,,2025-03-07T23:46:38Z,None
24064,[improve][broker] Optimize ThresholdShedder with improved boundary checks and parameter reuse,closed,,2025-03-07T08:02:09Z,2025-03-13T09:59:22Z
24063,[fix][broker]Fix failed consumption after loaded up a terminated topic,closed,,2025-03-07T03:17:22Z,2025-03-13T04:42:46Z
24061,[fix][client] Fix building broken batched message when publishing,closed,,2025-03-06T18:21:20Z,2025-03-14T21:14:12Z
24060,[improve][monitor] Add version=0.0.4 to /metrics content type for Prometheus 3.x compatibility,closed,,2025-03-05T17:20:28Z,2025-03-06T07:33:43Z
24059,[fix][client] Copy eventTime to retry letter topic and DLQ messages,closed,,2025-03-05T13:21:42Z,2025-03-05T19:26:16Z
24058,[fix][ml] Avoid NPE when getCurrentLedger() returns null,closed,,2025-03-05T12:55:34Z,None
24056,[fix][test] Update partitioned topic subscription assertions in IncrementPartitionsTest,closed,,2025-03-05T10:18:49Z,2025-03-12T02:01:49Z
24055,[fix] Avoid negative estimated entry count,closed,,2025-03-05T07:30:25Z,2025-03-07T04:58:34Z
24054,[fix][ml] Corrected pulsar_storage_size metric to not multiply offloaded storage by the write quorum,closed,,2025-03-04T16:59:49Z,2025-03-14T10:39:32Z
