PR Number,Title,State,URL,Created At,Merged At
9252,[ISSUE apache#9249]延迟消息，投递失败，投递设置的开始offset有误修改,open,,2025-03-16T11:35:20Z,None
9251,Optimized ConsumerOffsetManager for Faster Topic & Group Lookups,open,,2025-03-16T08:14:30Z,None
9250,Fix unstable test: BrokerOuterAPITest.test_needRegister_timeout,open,,2025-03-15T14:44:15Z,None
9247,[ISSUE #9246] Support init offset mode in PopConsumerService,closed,,2025-03-14T11:47:45Z,2025-03-15T07:02:07Z
9245,[ISSUE #9244] Avoid writing dirty data in consumption mode,open,,2025-03-14T07:05:37Z,None
9243,4.9.6,open,,2025-03-14T04:00:06Z,None
9242,[ISSUE #9241] RocksDBConsumeQueueStore do not need to update storeCheckPoint,open,,2025-03-13T11:58:02Z,None
9239,fix master-slave sync issue in Dledger mode,open,,2025-03-13T02:34:58Z,None
9238,Update NOTICE,closed,,2025-03-12T09:10:52Z,2025-03-13T07:57:44Z
9236,[ISSUE #9235] fix: response codes do not match,closed,,2025-03-11T08:43:42Z,None
9234,[ISSUE #9233] Query message in tiered storage may fail for the first correct index file was not selected,closed,,2025-03-11T02:34:58Z,2025-03-13T09:02:58Z
9232,[maven-release-plugin] prepare for next development iteration,closed,,2025-03-08T06:11:45Z,2025-03-08T09:20:49Z
9231,[maven-release-plugin] prepare release rocketmq-all-5.3.2,closed,,2025-03-07T08:28:56Z,2025-03-08T06:07:17Z
9230,[ISSUE #9227] Release rocketmq-all-5.3.2,closed,,2025-03-07T08:21:24Z,None
9228,[ISSUE #9227] Prepare to release Apache RocketMQ 5.3.2,closed,,2025-03-06T02:56:56Z,2025-03-07T07:45:26Z
9226,Add test to test the exception branch,open,,2025-03-05T07:48:17Z,None
9224,[ISSUE #9223] Pop consumer example add the default NamesrvAddr,closed,,2025-03-04T08:59:10Z,2025-03-07T05:47:35Z
9222,[ISSUE #9221] Extract some common code in BrokerPathConfigHelper,closed,,2025-03-03T14:53:39Z,2025-03-04T07:20:28Z
9218,[ISSUE #9217] Fix broker's inflight and available message counts incorrect when the pop consumer service is enabled,closed,,2025-03-03T03:46:31Z,2025-03-03T06:24:02Z
9214,[ISSUE #9213] Fix get the earliest time error when data is clean up in tiered storage,closed,,2025-02-28T03:41:14Z,2025-03-03T01:58:06Z
9212,[ISSUE #8589] Optimize RocksDB CQ shutdown when using DoubleWriteCQ,closed,,2025-02-28T03:13:09Z,2025-02-28T06:19:38Z
9211,"Revert ""[ISSUE #9176] Fix pop message header missing fields when enable ACL 2.0""",closed,,2025-02-27T11:22:58Z,2025-02-28T01:52:46Z
9210,Support for ibm J9,open,,2025-02-27T03:17:31Z,None
9207,[ISSUE #9206] Fix slave sync topic sub in rocksdb ha,closed,,2025-02-26T01:59:29Z,2025-02-26T03:27:40Z
9204,[ISSUE #9203] Replace numbers with static variables defined in RequestCode,closed,,2025-02-24T08:55:17Z,2025-02-25T00:09:53Z
9202,[ISSUE #9201] cleanup dead code patterns and improve readability and maintainability.,closed,,2025-02-23T13:38:16Z,2025-02-24T00:44:36Z
9197,[ISSUE #9196] Broker return pop stats when receive notification,closed,,2025-02-20T09:44:42Z,2025-03-03T03:35:03Z
9194,[ISSUE #9193]Optimized get sequential message lock logic,open,,2025-02-19T12:33:43Z,None
9192,[ISSUE #9191] Provide the ability to replace the remoting layer implementation for Proxy and Broker,closed,,2025-02-19T09:52:42Z,2025-02-24T04:27:30Z
9189,[ISSUE #9188] Use fastjson2 in org/apache/rocketmq/broker/config/v1,open,,2025-02-17T13:03:41Z,None
9186,[ISSUE #9187] The request should be rejected if the queueOffset equals maxOffset when changing the invisible time,closed,,2025-02-17T08:23:43Z,2025-02-19T09:24:50Z
9185,[ISSUE #9184] Optimize QueueLockManager#tryLock method in Pop,closed,,2025-02-16T15:22:34Z,2025-03-07T05:46:52Z
9183,[ISSUE #9182] Fix NameServer will be not ready forever when set needWaitForService to true,closed,,2025-02-14T10:01:26Z,2025-02-17T03:38:51Z
9180,[ISSUE #9181] update fastjson version,closed,,2025-02-12T08:00:03Z,2025-02-13T02:04:51Z
9179,[ISSUE #9176] Fix pop message header missing fields when enable ACL 2.0,closed,,2025-02-12T06:06:52Z,2025-02-21T06:17:03Z
9178,[ISSUE #9177] Fix unstable tests in AdaptiveLockTest.testAdaptiveLock ,closed,,2025-02-12T05:33:49Z,2025-02-12T08:44:34Z
9175,[ISSUE #9174] Add a collection of predefined Groups and common che…,closed,,2025-02-11T11:58:50Z,2025-02-12T07:38:42Z
9173,[ISSUE #9172] Clean pull offset and reset offset when delete subscription group,closed,,2025-02-11T07:56:54Z,2025-02-12T11:09:55Z
9168,Restrict the list version workflow to be executed only in the main repository,closed,,2025-02-08T14:44:04Z,2025-02-10T00:28:39Z
9165,[ISSUE #9164] Add producer stats manager,open,,2025-02-04T17:42:51Z,None
9163,[ISSUE #9127] remove dependency io.github.aliyunmq:rocketmq-grpc-nett…,open,,2025-01-28T11:14:27Z,None
9162,[ISSUE#9097] Add new command to check async task status in broker.,open,,2025-01-27T03:29:09Z,None
9161,fix test,closed,,2025-01-25T09:24:22Z,None
9159,[ISSUE#9160] Ensure the requestCode increments sequentially,closed,,2025-01-24T14:34:35Z,2025-01-28T02:08:00Z
9158,[ISSUE #9155][2025-01-23] update doc Deployment Context,closed,,2025-01-24T04:28:20Z,2025-01-28T02:08:32Z
9157,[ISSUE #9156] Use fastjson2 in AclUtils#getAclRPCHook,closed,,2025-01-23T13:54:54Z,2025-02-10T02:40:59Z
9153,[ISSUE #9152] Broker getConsumeStats supports inputting multiple topics,closed,,2025-01-22T03:25:08Z,2025-02-05T06:41:54Z
9150,[ISSUE #9149]Assign offset in offsetTable even if the subscription key not exist.,closed,,2025-01-21T03:55:23Z,2025-02-06T08:48:31Z
9148,[ISSUE #9147] Remove unused code,open,,2025-01-20T03:25:07Z,None
9142,[ISSUE #9141] [RIP-75] Supports timer message on RocksDB,open,,2025-01-17T04:18:21Z,None
9140,[ISSUE #9102] Fix bazel ci,closed,,2025-01-16T06:02:49Z,None
