PR Number,Title,State,URL,Created At,Merged At
50289,[SPARK-51522][SQL] Disable lazy union children test in single-pass Analyzer,open,,2025-03-16T19:40:21Z,None
50288,[MINOR][SQL] Re-generate `sql-expression-schema.md`,closed,,2025-03-16T06:42:18Z,None
50287,[WIP][SPARK-51456][SQL] Add the `to_time` function,open,,2025-03-15T20:14:06Z,None
50286,[SPARK-51451][SQL] Fix ExtractGenerator to wait for UnresolvedStarWithColumns to be resolved,open,,2025-03-15T00:57:15Z,None
50285,[SPARK-50983][SQL]Part 1.a Add unresolved outer attributes for SubqueryExpression,open,,2025-03-15T00:30:53Z,None
50284,[SPARK-51518][SQL] Support | as an alternative to |> for the SQL pipe operator token,open,,2025-03-14T21:04:46Z,None
50283,[WIP][SPARK-51515] refactor fromJavaDate/toJavaDate,closed,,2025-03-14T15:11:56Z,None
50282,[SPARK-51517][SQL] Support the TIME data type in Hive results,closed,,2025-03-14T14:22:58Z,None
50281,[SPARK-51513][SQL] Fix RewriteMergeIntoTable rule produces unresolved plan,open,,2025-03-14T13:25:07Z,None
50280,[MINOR][DOCS] Add Profile -Pdocker-integration-tests to sbt docker IT tests,closed,,2025-03-14T11:37:46Z,None
50279,[MINOR][SQL] Improve the code for OracleDialect,closed,,2025-03-14T10:25:22Z,None
50278,[SPARK-51340][ML][CONNECT] Model size estimation,open,,2025-03-14T09:47:20Z,None
50277,[SPARK-51512][CORE] Filter out null MapStatus when cleaning up shuffle data with ExternalShuffleService,open,,2025-03-14T08:15:44Z,None
50276,[SPARK-51511][INFRA] Upgrade `apache-rat` in the `dev/check-license to` 0.16.1,closed,,2025-03-14T07:22:01Z,None
50275,[SPARK-51496][SQL] CaseInsensitiveStringMap comparison should ignore case,open,,2025-03-14T05:46:37Z,None
50274,[SPARK-51509][CORE][UI] Make `Spark Master` Environment page support filters,closed,,2025-03-14T04:20:27Z,None
50273,[SPARK-51505][SQL] Log empty partition number metrics in AQE coalesce,open,,2025-03-14T00:22:08Z,None
50272,[SPARK-51506][PYTHON][SS] Do not enforce users to implement close() in TransformWithStateInPandas,closed,,2025-03-13T22:26:59Z,None
50271,"[SPARK-51191][SQL] Validate default values handling in DELETE, UPDATE, MERGE",open,,2025-03-13T18:38:15Z,None
50270,[SPARK-51270] Support nanosecond precision timestamp in Variant,open,,2025-03-13T18:19:45Z,None
50269,[SPARK-51414][SQL] Add the make_time() function,open,,2025-03-13T17:03:00Z,None
50268,[SPARK-51502][SQL][TESTS] Move collations test to collations package,closed,,2025-03-13T16:56:03Z,None
50267,[SPARK-51501][SQL] Disable ObjectHashAggregate for group by on collated columns,closed,,2025-03-13T16:46:38Z,None
50266,[SPARK-51497][SQL] Add the default time formatter,closed,,2025-03-13T08:12:10Z,None
50265,[SPARK-48922][SQL][3.5] Avoid redundant array transform of identical expression for map type,closed,,2025-03-13T03:17:01Z,None
50264,[SPARK-51466][SQL][HIVE][4.0] Eliminate Hive built-in UDFs initialization on Hive UDF evaluation,closed,,2025-03-13T02:17:34Z,None
50263,[WIP]: Spark 51272  51016 combined: For testing of HA Test,open,,2025-03-13T01:33:22Z,None
50262,[TEST-ONLY][4.0] Test pyarrow 19,open,,2025-03-12T23:45:06Z,None
50261,[SPARK-51494][BUILD] Upgrade to Apache parent pom 33,closed,,2025-03-12T21:13:41Z,None
50260,[SPARK-43221][CORE][3.5] Host local block fetching should use a block status of a block stored on disk,closed,,2025-03-12T21:08:03Z,None
50259,[SPARK-43221][CORE][4.0] Host local block fetching should use a block status of a block stored on disk,closed,,2025-03-12T21:05:38Z,None
50258,[SPARK-51491][PYTHON] Simplify boxplot with subquery APIs,closed,,2025-03-12T19:39:24Z,None
50257,[SPARK-51492][SS]FileStreamSource: Avoid expensive string concatenation if not needed,closed,,2025-03-12T19:27:15Z,None
50256,[SPARK-51489][SQL] Represent SQL Script in Spark UI,closed,,2025-03-12T17:56:25Z,None
50255,[SPARK-51487][PYTHON][INFRA] Refresh testing images for pyarrow 19,closed,,2025-03-12T16:42:33Z,None
50254,[MINOR][PYTHON] Generate with a newline at the end of error-conditions.json,closed,,2025-03-12T15:44:18Z,None
50253,[SPARK-51441][SQL] Add DSv2 APIs for constraints,open,,2025-03-12T15:37:29Z,None
50252,[WIP][SPARK-51271][PYTHON] Filter serialization for Python Data Source filter pushdown,open,,2025-03-12T15:33:05Z,None
50251,[MINOR][SQL] Reuse `dateTimeUtilsCls` in `Cast`,closed,,2025-03-12T14:37:55Z,None
50250,[SPARK-51488][SQL] Support the TIME keyword as a data type,closed,,2025-03-12T11:58:17Z,None
50249,[SPARK-51484][SS] Remove unused function `private def newDFSFileName(String)` from `RocksDBFileManager`,closed,,2025-03-12T11:21:40Z,None
50248,[SPARK-51398][SQL] SparkSQL supports sorting in the shuffle phase.,open,,2025-03-12T10:23:53Z,None
50247,[MINOR][DOC] Improve the documentation for configuration.,closed,,2025-03-12T09:33:01Z,None
50246,[SPARK-51479][SQL] Nullable in Row Level Operation Column is not correct,open,,2025-03-12T06:43:22Z,None
50245,[SPARK-48922][SQL] Avoid redundant array transform of identical expression for map type,closed,,2025-03-12T03:53:11Z,None
50244,[SPARK-51478][ML] Validate SQLTransformer statement by parsed plan,open,,2025-03-11T23:35:39Z,None
50243,"Update supported_api_gen.py: remove an invalid escape sequence ""\_"" using a raw string",open,,2025-03-11T23:03:43Z,None
50242,"[SPARK-51476][PYTHON][DOCS] Update document type conversion for Pandas UDFs (pyarrow 17.0.0, pandas 2.2.3, Python 3.11)",closed,,2025-03-11T22:30:18Z,None
50241,[MINOR][PYTHON] Reformat error classes,closed,,2025-03-11T22:16:22Z,None
50240,Delay `Join.metadataOutput` computation until `Join` is resolved,open,,2025-03-11T20:58:04Z,None
50239,[SPARK-51474][SQL] Don't insert redundant ColumnarToRowExec for node supporting both columnar and row output,closed,,2025-03-11T20:15:57Z,None
50238,[SPARK-51471][SS] classify the ASSERT error when offset/timestamp in startOffset is larger than the endOffset.,open,,2025-03-11T18:08:42Z,None
50237,[MINOR][BUILD]: Fix merge_spark_pr script for no jira case,closed,,2025-03-11T18:01:32Z,None
50236,[SPARK-51482][SQL] Support cast from string to time,closed,,2025-03-11T17:47:59Z,None
50235,[SPARK-51469][SQL] Improve MapKeyDedupPolicy so that avoid calling toString,closed,,2025-03-11T12:51:52Z,None
50234,"[SPARK-51468][SQL] Revert ""From json/xml should not change collations in the given schema""",closed,,2025-03-11T08:57:05Z,None
50233,[SPARK-51467][UI] Make tables of the environment page filterable,closed,,2025-03-11T08:40:40Z,None
50232,[SPARK-51466][SQL][HIVE] Eliminate Hive built-in UDFs initialization on Hive UDF evaluation,closed,,2025-03-11T03:44:00Z,None
50231,[SPARK-51318][TESTS] Remove `jar` files from Apache Spark repository and disable affected tests,open,,2025-03-10T21:17:57Z,None
50230,Compute checksum for shuffle,open,,2025-03-10T21:13:03Z,None
50229,[SPARK-51457][R][INFRA] Use R 4.4.3 in `windows` R GitHub Action job,closed,,2025-03-10T20:54:51Z,None
50228,[SPARK-51462][SQL] Support typed literals of the TIME data type,closed,,2025-03-10T20:22:00Z,None
50227,[MINOR][SQL][TESTS] Remove duplicated plan node check in DataFrameSetOperationsSuite,closed,,2025-03-10T12:00:00Z,None
50226,[SPARK-51453] [SQL] AssertTrue uses toPrettySQL instead of simpleString,closed,,2025-03-10T10:16:07Z,None
50225,[SPARK-51452][UI] Improve Thread dump table search,closed,,2025-03-10T10:04:54Z,None
50224,[SPARK-51454][SQL] Support cast from time to string,closed,,2025-03-10T09:27:16Z,None
50223,[SPARK-51450][CORE] BarrierCoordinator thread not exiting in Spark standalone mode,closed,,2025-03-10T05:34:10Z,None
