PR Number,Title,State,URL,Created At,Merged At
32694,fix(tests): search bug in tests,closed,,2025-03-16T16:21:55Z,None
32692,pnpm migration,open,,2025-03-16T08:29:20Z,None
32691,fix(cosmetics): allow toast message to be toggled off when modal is opened,open,,2025-03-16T05:11:05Z,None
32690,docs(api): correct attribute `name` instead of `table` for GET table_metadata in openapi.json,open,,2025-03-15T15:33:02Z,None
32689,Kapa integration,open,,2025-03-15T15:18:06Z,None
32688,build(dev-deps): bump prettier to v3.5.3 and follow-up refactor,open,,2025-03-15T12:46:26Z,None
32687,chore(build): prevent Dependabot opening PR to bump `prettier`,open,,2025-03-15T12:40:15Z,None
32686,chore(helm): bump postgresql image tag in helm values,open,,2025-03-15T04:39:24Z,None
32683,fix: coerce datetime conversion errors,open,,2025-03-14T20:54:46Z,None
32682,feat(docs): Adding Kapa.ai integration,closed,,2025-03-14T20:07:25Z,2025-03-15T05:34:43Z
32681,fix(log): Update recent_activity by event name,open,,2025-03-14T19:42:45Z,None
32680,feat: DB migration for dataset folders,closed,,2025-03-14T18:18:16Z,2025-03-14T21:16:02Z
32679,fix: ensure datasource permission in explore,open,,2025-03-14T17:38:39Z,None
32678,fix: Update RELEASING/README.md,closed,,2025-03-14T17:08:57Z,2025-03-14T17:28:19Z
32670,feat: Implement sparse import for ImportAssetsCommand,open,,2025-03-14T13:34:21Z,None
32669,Sparse import,closed,,2025-03-14T13:26:50Z,None
32668,docs: add Hometogo to users list,closed,,2025-03-14T13:07:34Z,2025-03-14T17:27:29Z
32666,fix: python 3.9 annotations from the future,closed,,2025-03-14T10:46:47Z,None
32665,fix: Time Comparison Feature Reverts Metric Labels to Metric Keys in Table Charts,open,,2025-03-14T09:09:13Z,None
32663,chore: add more csv tests,open,,2025-03-14T00:11:57Z,None
32662,feat: add a note to install cors-related dependency when using ENABLE_CORS,closed,,2025-03-13T20:27:16Z,2025-03-14T17:33:32Z
32661,fix(gsheets): update params from encrypted extra,closed,,2025-03-13T20:15:57Z,2025-03-14T16:00:53Z
32658,fix(sync perms): Avoid UnboundLocalError during perm sync for DBs that don't support catalogs,closed,,2025-03-13T18:34:47Z,2025-03-14T00:07:49Z
32657,fix(import): Import a DB connection with expanded rows enabled,closed,,2025-03-13T18:19:39Z,2025-03-14T15:02:41Z
32656,Bus 2396 image to ecr,closed,,2025-03-13T17:32:02Z,None
